gene_symbol	legacy_symbol	hgnc_approved_symbol	scored_symbol_in_current_analysis	source_category	evidence_tier	evidence_note	primary_score_member	ecm_excluded_score_member	structural_ecm	lock_status	lock_date	detected_GSE135251	detected_GSE130970	detected_GSE162694	detected_GSE126848	detected_GSE167523	hgnc_status	hgnc_audit_note	alias_aware_detected_GSE135251	alias_aware_detected_GSE130970	alias_aware_detected_GSE162694	alias_aware_detected_GSE126848	alias_aware_detected_GSE167523
ROCK2		ROCK2	ROCK2	RhoA_ROCK_actomyosin_focal_adhesion	A/B	Actomyosin contractility and focal-adhesion mechanotransduction; may overlap with myofibroblast abundance.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TAGLN		TAGLN	TAGLN	RhoA_ROCK_actomyosin_focal_adhesion	A/B	Actomyosin contractility and focal-adhesion mechanotransduction; may overlap with myofibroblast abundance.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TLN1		TLN1	TLN1	RhoA_ROCK_actomyosin_focal_adhesion	A/B	Actomyosin contractility and focal-adhesion mechanotransduction; may overlap with myofibroblast abundance.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
VASP		VASP	VASP	RhoA_ROCK_actomyosin_focal_adhesion	A/B	Actomyosin contractility and focal-adhesion mechanotransduction; may overlap with myofibroblast abundance.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
VCL		VCL	VCL	RhoA_ROCK_actomyosin_focal_adhesion	A/B	Actomyosin contractility and focal-adhesion mechanotransduction; may overlap with myofibroblast abundance.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ZYX		ZYX	ZYX	RhoA_ROCK_actomyosin_focal_adhesion	A/B	Actomyosin contractility and focal-adhesion mechanotransduction; may overlap with myofibroblast abundance.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SERPINE1		SERPINE1	SERPINE1	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SMAD2		SMAD2	SMAD2	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SMAD3		SMAD3	SMAD3	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SMAD4		SMAD4	SMAD4	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TGFB1		TGFB1	TGFB1	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TGFBR1		TGFBR1	TGFBR1	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TGFBR2		TGFBR2	TGFBR2	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
THBS1		THBS1	THBS1	TGF_beta_SMAD_fibrogenic_context	A/B	Fibrogenic signaling and mechanotransduction-adjacent context; not direct memory evidence.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
AMOTL2		AMOTL2	AMOTL2	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ANKRD1		ANKRD1	ANKRD1	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
CTGF	CTGF	CCN2	CTGF	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	False	False	False	False	True	audited_2026-05-27	CTGF maps to HGNC-approved CCN2; alias-aware detection is provided without changing v5 exact-symbol scoring.	True	True	True	True	True
CYR61	CYR61	CCN1	CYR61	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	False	False	False	False	True	audited_2026-05-27	CYR61 maps to HGNC-approved CCN1; alias-aware detection is provided without changing v5 exact-symbol scoring.	True	True	True	True	True
TEAD1		TEAD1	TEAD1	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TEAD2		TEAD2	TEAD2	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TEAD3		TEAD3	TEAD3	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
TEAD4		TEAD4	TEAD4	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
WWTR1		WWTR1	WWTR1	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
YAP1		YAP1	YAP1	YAP_TAZ_TEAD_mechanotransduction	A/B	Mechanotransduction and stiffness-responsive transcriptional context; liver/HSC relevance requires dataset-level confirmation.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ACTB		ACTB	ACTB	Zhao_2026_template_overlap_and_cytoskeleton_context	C	External breast-cancer mechanical-memory template overlap or cytoskeletal context; not sufficient alone for MASLD mechanism.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
CAV1		CAV1	CAV1	Zhao_2026_template_overlap_and_cytoskeleton_context	C	External breast-cancer mechanical-memory template overlap or cytoskeletal context; not sufficient alone for MASLD mechanism.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
CFL1		CFL1	CFL1	Zhao_2026_template_overlap_and_cytoskeleton_context	C	External breast-cancer mechanical-memory template overlap or cytoskeletal context; not sufficient alone for MASLD mechanism.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FLNA		FLNA	FLNA	Zhao_2026_template_overlap_and_cytoskeleton_context	C	External breast-cancer mechanical-memory template overlap or cytoskeletal context; not sufficient alone for MASLD mechanism.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FLNB		FLNB	FLNB	Zhao_2026_template_overlap_and_cytoskeleton_context	C	External breast-cancer mechanical-memory template overlap or cytoskeletal context; not sufficient alone for MASLD mechanism.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PFN1		PFN1	PFN1	Zhao_2026_template_overlap_and_cytoskeleton_context	C	External breast-cancer mechanical-memory template overlap or cytoskeletal context; not sufficient alone for MASLD mechanism.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
FERMT2		FERMT2	FERMT2	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGA1		ITGA1	ITGA1	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGA2		ITGA2	ITGA2	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGA5		ITGA5	ITGA5	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGAV		ITGAV	ITGAV	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGB1		ITGB1	ITGB1	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
ITGB3		ITGB3	ITGB3	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PARVA		PARVA	PARVA	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PARVB		PARVB	PARVB	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
PTK2		PTK2	PTK2	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SRC		SRC	SRC	integrin_FAK_adhesion	A/B	Integrin and focal adhesion signaling in matrix sensing.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
CDC42		CDC42	CDC42	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LATS1		LATS1	LATS1	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LATS2		LATS2	LATS2	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LIMD1		LIMD1	LIMD1	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
LMNA		LMNA	LMNA	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
MRTFA		MRTFA	MRTFA	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	False	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	False
MRTFB		MRTFB	MRTFB	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	False	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	False
RAC1		RAC1	RAC1	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
SRF		SRF	SRF	nuclear_mechanotransduction_MRTF_SRF_Hippo_context	B	Nuclear and cytoskeletal mechanotransduction prior; not liver-specific alone.	yes	yes	no	phase2_v1_locked_prior	2026-05-23	True	True	True	True	True	audited_2026-05-27	HGNC audit completed; exact locked symbol retained for current v5 score reproducibility.	True	True	True	True	True
